Y9,1263343 Alberta Inc. d/b/a Lynx Air
2PQ,21 Air LLC
Q5,40-Mile Air
CIQ,A/S Conair
AAE,AAA Airlines
ACI,AAA-Action Air Carrier Inc.
WSK,AAR Western Skyways
BZQ,"Abaco Air, Ltd."
4O,ABC Aerolineas SA de CV dba Interjet
AAB,Abelag Aviation AG
2AQ,ABS JETS A.S
M3,ABSA-Aerolinhas Brasileiras
ABX,ABX Air Inc
ACD,Academy Airlines
ZA,Accessair Holdings
VX (1),Aces Airlines
0CQ,ACM AIR CHARTER GmbH
CRV,Acropolis Aviation Ltd.
AON,Action Airlines
ADR,Adirondack Airlines
AAQ,Advance Air Charters
AN,"ADVANCED AIR, LLC"
ADV,Advantage Airlines
EI,Aer Lingus Plc
QTQ,Aer Turas Teoranta
TPQ,Aerial Transit Company
IN,Aerlinte Eireann Teoranta
AWQ,Aermediterranea S.P.A.
AFQ,Aero B Venezuela C.A.
JR,Aero California
AEO,Aero Coach
LOS,Aero Commuter
N6,Aero Continente
ML,Aero Costa Rica
AEF,Aero Freight
BAA,Aero International Airlines
AVQ,Aero Laguna S.A. De C.V.
PL,Aero Peru
BAQ,Aero Rentas De Coahuila S.A. De C.V.
ERQ,Aero Trades (Western) Ltd.
ATQ (1),Aero Tranportes Panamenos
CLQ,Aero Transcolombiana
XAA,Aero Union Corp
URQ,Aero Uruguay
ROQ,Aero Uruguay
AVI,Aero Virgin Islands Corp.
G3 (1),Aerochago S.A.
OD (1),Aerocondor
AYQ,Aerodan S.A. De C.V.
AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways
SX (1),Aeroejecutivo S.A.
EJQ,Aeroejecutivos C.A.
VB,"Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus"
SU,Aeroflot Russian Airlines
2K,Aerogal
AR,Aerolineas Argentinas
DOQ,Aerolineas Dominicanas S A
SZQ,Aerolineas El Salvador S A
LNQ,Aerolineas Latinas
MUQ,Aerolineas Mundo
RL (1),Aerolineas Nicaraguenses
UYQ,Aerolineas Uruguayas S.A.
5D,Aerolitoral
3S,AeroLogic GmbH
BQ,Aeromar C. Por A.
OV,Aeromaritime
RZZ,Aeromech Inc.
AM,Aeromexico
TRA,Aeromexico Travel
QO,Aeromexpress
7M,Aeromonterrey S.A.
AXQ,Aeron International Airlines Inc.
ACQ,Aeronautica De Cancun
ABO,Aeronaves Boringuena Inc.
XBQ,Aeronaves De Puerto Rico
ADQ,Aeronaves Del Peru
VH (1),Aeropostal Alas De Venezuel
PUQ,Aeropuma
BES,Aeroservices Executive
WEQ,Aero-Services-Corporate
EOQ,Aeroservicios Ecuatorianos
RED,Aerosun International Airlines Inc.
5L,Aerosur
ASQ,Aerosur
VV,Aerosvit Ukranian Airlines
XK,Aerotal
BDQ,Aerotaxis De Aguascalientes S.A. De C.V.
RTQ,Aerotour Dominicano Cxa
ATT,Aerotransit Inc.
RSQ,Aerotransportes Entre Rios
M7,Aerotransportes Mas De Crga
6R,Aerounion Aerotransporte de Carga Union SA de CV
ARQ (1),Aerovias Colombianas Arca
4C,Aerovias de Intergracian Regional
AV,Aerovias Nacl De Colombia
AOQ (1),Aerovias S.A.
VE,Aerovias Venezolanas-Avensa
ZL,Affretair
A7 (1),Air 21
RK,Air Afrique
AHA,Air Alpha
15Q,Air Alsie A/S
GM,Air America
STZ,Air America Inc.
SAX,Air Americana
FQ,Air Aruba
D7,Air Asia X Berhad dba Airasia X
EUQ,Air Atlanta Europe
CT,Air Atlanta Europe Limited
CC,Air Atlanta Icelandic
CC (1),Air Atlanta Inc.
ATN,Air Atlantic Airlines Inc.
LU,Air Atlantic Dominicana
ABH,Air Bahia
BEQ,Air Belgium
AB,Air Berlin PLC and CO
BX,Air Busan
BLQ,Air Bvi Limited
OC,Air California Inc.
AC,Air Canada
RV,Air Canada rouge LP
APE,Air Cape
AEQ,Air Caravane Inc.
AGA,Air Cargo America Inc.
ACO,Air Cargo Enterprises Inc.
ACG,Air Cargo Express Inc.
AIC,Air Caribbean
XC,Air Caribbean
ARB,Air Caribe International
ATX,Air Carolina
ASN,Air Casino
ACK,Air Central Inc.
ACT,Air Central Inc.
ACP,Air Chaparral Inc.
AQQ,Air Charter (Safa)
WAQ,Air Charter Systems (Acs)
1YQ,"Air Charter, Inc d/b/a Air Flamenco"
JCM,Air Chico
CA,Air China
HB (1),Air Club International
TAC,Air Colorado
A7,Air Comet S.A.
R3,Air Company Yakutia
SAS,Air Cortez International
WAC,Air East Airlines
AED,Air East Of Delaware Inc.
UX,Air Europa
AE,Air Europe Limited
PE,Air Europe S.P.A.
X4,Air Excursions LLC
AEX,Air Excursions LLC
AIE,Air Express Inc.
XAC,Air Express International Airlines
OF,Air Finland Ltd.
AFE,Air Florida Express
QH,Air Florida Inc.
GS,Air Foyle Limited
RRT,Air Freight Express
ZX,Air Georgian
WV,"Air Greco, Inc., d/b/a Wings Air"
HJ,Air Haiti S. A.
36Q,Air Hamburg Luftverkehrsgesellschaft mbH
AHC,Air Hawaii
UX (1),Air Illinois Inc.
AIN,Air Indiana
JM,Air Jamaica Limited
NQ,Air Japan Co
OWS,Air Kentucky Air Lines
AIK,Air Ketchum Idaho Inc.
ALS,Air L.A.
LRQ,Air Liberte
IW,Air Liberte Aka Aom Minerve
ALK,Air Link Airways
KM,Air Malta
UMQ,Air Manila Inc.
CW,Air Marshall Islands Inc.
2BQ,Air Medical Ltd.
AJ,Air Micronesia Inc.
ZV,Air Midwest Inc.
TRO,Air Molakai
AIM,Air Mont. Inc.
AHQ,Air National
XBZ,Air Natl Aircraft Sal & Ser
ON,Air Nauru
ANB,Air Nebraska Inc.
ZIA,Air New Mexico
AOR,Air New Orleans
NZ,Air New Zealand
NUQ,Air Niugini
4N,Air North
ANT,Air North/Nenana
CB,Air One Inc.
GX,Air Ontario Limited
ARO,Air Oregon
EKA,Air Pacific Inc.
FJ,Air Pacific Ltd.
FJ (1),Air Pacific Ltd.
OP (1),Air Panama Internacional
PER,Air Pennsylvania
2P,"Air Philippines Corp d/b/a Airphil Express, Philippines Airlines"
XAB,Air Polynesia d/b/a DHL Cargo
APY,Air Polynesia Inc.
FD,Air Puerto Rico Airlines
ARA,Air Resorts Airlines
RWG,Air Rovers Inc.
ARS,Air Sedona
HC,Air Senegal S.A
JU,Air Serbia
ASH,Air South
ASU,Air South
ASC,Air South Inc.
WV (1),Air South Inc.
ATH,Air Southeast
APS,Air Spirit Inc.
ZP,Air St. Thomas
AAT,Air Sunshine Inc.
TN,Air Tahiti Nui
XDE,Air Train Inc.
TS,Air Transat
8C,Air Transport International
VK,Air Tungaru Corporation
USA,Air U.S.
6U,Air Ukraine
AVA,Air Vectors Airways
AVR,Air Vermont Inc.
CAV,Air Virginia
AWA,Air West Airlines
ZW,Air Wisconsin Airlines Corp
ABI,Airbama Incorporated
ZX (1),Airbc Ltd.
RU,AirBridgeCargo Airlines Limited
BGQ,Airbus Transport Internat'l
3AA,"Airgate Aviation, Inc."
AIG,Airgo Inc.
IG,Airitaly S.P.A.
ALE,Air-Lift Associates Inc.
ARD,Airlift International
RD (1),Airlift International Inc.
ARM,Airmarc Airlines Inc.
AKQ,Airmark Airlines Inc.
MKQ,Airmark Corporation
XYZ,Airpac Inc.
RSV,Air-Serve
ARP,Airspur Helicopters Inc.
FL,AirTran Airways Corporation
AVG,Airvantage
AIT,Airways International
ANM,Airways Of New Mexico Inc.
ACS,Alamo Commuter Airlines
APQ,Alas De Transporte International
AAZ,Alaska Aeronautical Indust.
AS,Alaska Airlines Inc.
ACA,Alaska Central Airways Inc.
KO,Alaska Central Express
LSZ,Alaska Island Air Inc.
ALQ (1),Alberta Northern Airlines
17Q,Albinati Aeronautics SA
26Q,Albinati aviation Limited
ALU,Aleutian Air
RJ,Alia-(The) Royal Jordanian
CP,Alis Cargo Airlines S.P.A.
CEQ,All Canada Express
AIA,All Island Air
NH,All Nippon Airways Co.
ALL,All Seasons Air Pacific
EP,All Star Airlines Inc.
JXQ,Allarco Developments Ltd.
HRZ,Allegheny Airlines
G4,Allegiant Air
AIY,Alliance Air
ACN,Alliance Airlines
ALQ,Alliance Executive Jets Ltd.
ALD,Allied Airlines
XBR,Allstates Air Cargo Inc.
KH,Aloha Air Cargo
AQ,Aloha Airlines Inc.
APH,Alpha Air
AAV,Alpine Air
ASI,Alpine Air Services Inc.
1FQ,Alsek Air
AAR,Altair Airlines Inc.
ALT,Altus Airlines
XAE,Amerford Airways Inc.
HP,America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)
AME,Americair Inc.
AMT,American Air Transport
AA,American Airlines Inc.
TSF,American Central Airlines
AFA,American Flag Airlines Inc.
AFG,American Flight Group
AMI,American Inter-Island Inc.
NI (1),American International Airways Inc.
M6,Amerijet International
AMQ,Ameristar Air Cargo
ASD,Amistad Airlines
9N,ANA & JP Express Co. Ltd.
ED,Andes
3CQ,"Andrew Airways, Inc."
AZQ,Anglo Airlines Ltd.
PDQ,Antigua Paradise Airways
AAB (1),Antilles Air Boats Inc.
ADB,Antonov Company
7P,Apa International Air S.A.
APL,Appalachian Flying Service
AFS,Arcata Flying Service
5F,Arctic Circle Air Service
AGQ,Argo S. A.
AAL,Argosy Air Lines Inc.
W3,Arik Air International
RAQ,Arista International Airlines Inc.
ARI,Arizona Aero Corp.
ARZ,Arizona Airways
K7,Arizona Express
AZP,Arizona Pacific Airways
API,Arizona Pacific Inc.
MTA,Arkansas Traveler Airline
AAP,Armstrong Air Service Inc.
ARN,Arnold Aviation
JW,Arrow Air Inc.
WAP,Arrow Panama
ARR,Arrowhead Airways Inc.
IPQ,Aruba Cargo
AG,Arubaanse Luchtvaart Maatschappij NV dba Aruba Airlines
ASP,Asap Air Inc.
PFQ,Asia Pacific
OZ,Asiana Airlines Inc.
APN,Aspen Airways Inc.
AAA,Associated Aviation Act.
ER,"Astar USA, LLC"
AEC,Astec Air East Inc.
ASR,Astor Air
AST,Astro Airways
XAF,Astro-Wing Airlines Inc.
TZ,ATA Airlines d/b/a ATA
